Дата;Амп. (А);Амп. (C)
13.11.2023 0:00;0,07;0,06
14.11.2023 0:00;0,09;0,05
15.11.2023 0:00;0,07;0,05
16.11.2023 0:00;0,08;0,05
17.11.2023 0:00;0,08;0,05
18.11.2023 0:00;0,08;0,05
19.11.2023 0:00;0,08;0,05
20.11.2023 0:00;0,08;0,05
21.11.2023 0:00;0,07;0,05
22.11.2023 0:00;0,07;0,05
23.11.2023 0:00;0,08;0,05
24.11.2023 0:00;0,07;0,05
25.11.2023 0:00;0,08;
26.11.2023 0:00;0,08;
27.11.2023 0:00;0,08;
28.11.2023 0:00;0,07;
29.11.2023 0:00;0,08;
30.11.2023 0:00;0,1;0,07
01.12.2023 0:00;0,07;0,07
02.12.2023 0:00;0,08;0,07
03.12.2023 0:00;0,08;0,07
04.12.2023 0:00;0,09;0,07
05.12.2023 0:00;0,08;0,07
06.12.2023 0:00;0,08;0,06
07.12.2023 0:00;0,07;0,06
08.12.2023 0:00;0,08;0,06
09.12.2023 0:00;0,09;0,06
10.12.2023 0:00;0,09;0,07
11.12.2023 0:00;0,09;0,07
12.12.2023 0:00;0,08;0,08
13.12.2023 0:00;0,08;0,07
14.12.2023 0:00;0,08;0,07
15.12.2023 0:00;0,09;0,08
16.12.2023 0:00;0,08;0,07
17.12.2023 0:00;;
18.12.2023 0:00;;
19.12.2023 0:00;;
20.12.2023 0:00;;
21.12.2023 0:00;0,07;0,06
22.12.2023 0:00;0,09;0,07
23.12.2023 0:00;0,08;0,13
24.12.2023 0:00;0,08;0,11
25.12.2023 0:00;0,08;0,07
26.12.2023 0:00;0,09;0,14
27.12.2023 0:00;0,07;0,09
28.12.2023 0:00;0,07;0,09
29.12.2023 0:00;0,09;0,2
30.12.2023 0:00;0,08;0,2
31.12.2023 0:00;0,09;0,09
01.01.2024 0:00;0,08;0,06
02.01.2024 0:00;0,07;0,06
03.01.2024 0:00;0,07;0,05
04.01.2024 0:00;0,07;0,05
05.01.2024 0:00;0,07;0,06
06.01.2024 0:00;0,06;0,06
07.01.2024 0:00;0,07;0,06
08.01.2024 0:00;0,07;0,06
09.01.2024 0:00;0,08;0,07
10.01.2024 0:00;0,08;0,17
11.01.2024 0:00;0,08;0,1
12.01.2024 0:00;0,07;0,06
13.01.2024 0:00;0,07;0,05
14.01.2024 0:00;0,07;0,06
15.01.2024 0:00;;
16.01.2024 0:00;;
17.01.2024 0:00;;
18.01.2024 0:00;;
19.01.2024 0:00;;
20.01.2024 0:00;;
21.01.2024 0:00;;
22.01.2024 0:00;;
23.01.2024 0:00;;
24.01.2024 0:00;;
25.01.2024 0:00;;
26.01.2024 0:00;;
27.01.2024 0:00;;
28.01.2024 0:00;;
29.01.2024 0:00;;
30.01.2024 0:00;;
31.01.2024 0:00;;
01.02.2024 0:00;;
02.02.2024 0:00;;
03.02.2024 0:00;;
04.02.2024 0:00;;
05.02.2024 0:00;;
06.02.2024 0:00;;
07.02.2024 0:00;;
08.02.2024 0:00;;
09.02.2024 0:00;;
10.02.2024 0:00;;
11.02.2024 0:00;;
12.02.2024 0:00;;
13.02.2024 0:00;;
14.02.2024 0:00;;
15.02.2024 0:00;;
16.02.2024 0:00;;
17.02.2024 0:00;;
18.02.2024 0:00;;
19.02.2024 0:00;;
20.02.2024 0:00;;
21.02.2024 0:00;;
22.02.2024 0:00;;
23.02.2024 0:00;;
24.02.2024 0:00;;
25.02.2024 0:00;;
26.02.2024 0:00;;
27.02.2024 0:00;;
28.02.2024 0:00;;
29.02.2024 0:00;;
01.03.2024 0:00;;
02.03.2024 0:00;;
03.03.2024 0:00;;
04.03.2024 0:00;;
05.03.2024 0:00;;
06.03.2024 0:00;;
07.03.2024 0:00;;
08.03.2024 0:00;;
09.03.2024 0:00;;
10.03.2024 0:00;;
11.03.2024 0:00;;
12.03.2024 0:00;;
13.03.2024 0:00;;
14.03.2024 0:00;;
15.03.2024 0:00;;
16.03.2024 0:00;;
17.03.2024 0:00;;
18.03.2024 0:00;;
19.03.2024 0:00;;0,07
20.03.2024 0:00;0,05;0,07
21.03.2024 0:00;0,08;0,09
22.03.2024 0:00;0,06;0,08
23.03.2024 0:00;0,46;0,23
24.03.2024 0:00;0,7;0,62
25.03.2024 0:00;0,25;0,21
26.03.2024 0:00;0,09;0,09
27.03.2024 0:00;0,06;0,1
28.03.2024 0:00;0,06;0,08
29.03.2024 0:00;0,07;0,08
30.03.2024 0:00;0,07;0,09
31.03.2024 0:00;0,07;0,08
01.04.2024 0:00;0,07;0,08
02.04.2024 0:00;0,06;0,08
03.04.2024 0:00;0,08;0,18
04.04.2024 0:00;0,07;0,07
05.04.2024 0:00;0,06;0,06
06.04.2024 0:00;0,06;0,07
07.04.2024 0:00;0,07;0,07
08.04.2024 0:00;0,06;0,07
09.04.2024 0:00;0,01;0,04
10.04.2024 0:00;0,06;0,08
11.04.2024 0:00;0,06;0,08
12.04.2024 0:00;0,17;0,43
13.04.2024 0:00;0,06;0,07
14.04.2024 0:00;0,2;0,28
15.04.2024 0:00;0,15;0,25
16.04.2024 0:00;0,06;0,06
17.04.2024 0:00;0,06;0,06
18.04.2024 0:00;0,08;0,1
19.04.2024 0:00;0,15;0,13
20.04.2024 0:00;0,05;0,06
21.04.2024 0:00;0,04;0,05
22.04.2024 0:00;0,05;0,07
23.04.2024 0:00;0,05;0,06
24.04.2024 0:00;0,05;0,05
25.04.2024 0:00;0,05;0,05
26.04.2024 0:00;0,05;0,06
27.04.2024 0:00;0,08;0,19
28.04.2024 0:00;0,05;0,06
29.04.2024 0:00;0,36;0,05
30.04.2024 0:00;0,05;0,05
01.05.2024 0:00;0,05;0,06
02.05.2024 0:00;0,05;0,06
03.05.2024 0:00;0,05;0,04
04.05.2024 0:00;0,04;0,05
05.05.2024 0:00;0,05;0,06
06.05.2024 0:00;0,05;0,07
07.05.2024 0:00;0,05;0,07
08.05.2024 0:00;0,05;0,06
09.05.2024 0:00;0,05;0,05
10.05.2024 0:00;0,05;0,07
11.05.2024 0:00;0,05;0,07
12.05.2024 0:00;0,05;0,06
13.05.2024 0:00;0,04;0,05
14.05.2024 0:00;0,05;0,06
15.05.2024 0:00;0,05;0,06
16.05.2024 0:00;0,04;0,06
17.05.2024 0:00;0,06;0,07
18.05.2024 0:00;0,05;0,07
19.05.2024 0:00;0,05;0,06
20.05.2024 0:00;0,04;0,05
21.05.2024 0:00;0,05;0,06
22.05.2024 0:00;0,05;0,06
23.05.2024 0:00;0,03;0,05
24.05.2024 0:00;0,04;0,05
25.05.2024 0:00;0,03;0,05
26.05.2024 0:00;0,05;0,06
27.05.2024 0:00;0,05;0,06
28.05.2024 0:00;0,05;0,06
29.05.2024 0:00;0,05;0,06
30.05.2024 0:00;0,05;0,05
31.05.2024 0:00;0,05;0,06
01.06.2024 0:00;0,05;0,06
02.06.2024 0:00;0,05;0,06
03.06.2024 0:00;0,05;0,07
04.06.2024 0:00;0,05;0,06
05.06.2024 0:00;0,05;0,06
06.06.2024 0:00;0,05;0,05
07.06.2024 0:00;0,05;0,06
08.06.2024 0:00;0,05;0,06
09.06.2024 0:00;0,05;0,06
10.06.2024 0:00;0,05;0,06
11.06.2024 0:00;0,06;0,06
12.06.2024 0:00;0,06;0,07
13.06.2024 0:00;0,06;0,06
14.06.2024 0:00;0,06;0,07
15.06.2024 0:00;0,05;0,06
16.06.2024 0:00;0,05;0,05
17.06.2024 0:00;0,06;0,06
18.06.2024 0:00;0,06;0,06
19.06.2024 0:00;0,05;0,06
20.06.2024 0:00;0,06;0,07
21.06.2024 0:00;0,05;0,06
22.06.2024 0:00;0,05;0,07
23.06.2024 0:00;0,05;0,06
24.06.2024 0:00;0,41;0,06
25.06.2024 0:00;0,05;0,07
26.06.2024 0:00;0,05;0,06
27.06.2024 0:00;0,05;0,06
28.06.2024 0:00;0,05;0,05
29.06.2024 0:00;0,05;0,05
30.06.2024 0:00;0,05;0,06
01.07.2024 0:00;0,05;0,06
02.07.2024 0:00;0,05;0,05
03.07.2024 0:00;0,05;0,06
04.07.2024 0:00;0,05;0,06
05.07.2024 0:00;0,06;0,07
06.07.2024 0:00;0,05;0,06
07.07.2024 0:00;0,05;0,05
08.07.2024 0:00;0,05;0,05
09.07.2024 0:00;0,05;0,05
10.07.2024 0:00;0,05;0,06
11.07.2024 0:00;0,05;0,05
12.07.2024 0:00;0,05;0,05
13.07.2024 0:00;0,05;0,06
14.07.2024 0:00;0,05;0,06
15.07.2024 0:00;0,06;0,06
16.07.2024 0:00;0,05;0,06
17.07.2024 0:00;0,05;0,06
18.07.2024 0:00;0,05;0,06
19.07.2024 0:00;0,05;0,06
20.07.2024 0:00;0,05;0,06
21.07.2024 0:00;0,05;0,06
22.07.2024 0:00;0,06;0,06
23.07.2024 0:00;0,05;0,06
24.07.2024 0:00;0,05;0,05
25.07.2024 0:00;0,05;0,06
26.07.2024 0:00;0,05;0,05
27.07.2024 0:00;0,05;0,05
28.07.2024 0:00;0,05;0,06
29.07.2024 0:00;0,05;0,06
30.07.2024 0:00;;
